airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
s9000,200000.0,0.0,1,0.3376,0.00881,0.3279668718321503,0.008734978316471928,11.096244996272251
s9000,200000.0,2.0,1,0.5487,0.00892,0.5494097510119496,0.009030192294362856,13.798833609699432
s9000,200000.0,6.0,1,0.9356,0.01373,0.943886449619732,0.014007724444927061,10.17307489003496
s9000,200000.0,10.0,1,1.2353,0.02837,1.2254129091485813,0.030665855177491562,12.176431677566185
s9000,1000000.0,-2.0,1,0.1233,0.00557,0.12493811241784047,0.0058243239019571975,10.285671059298805
s9000,1000000.0,0.0,1,0.3364,0.00484,0.33548195974665124,0.00483066623988507,9.10551705662608
s9000,1000000.0,2.0,1,0.5397,0.00551,0.5451548675165117,0.005551507732772527,5.388021184663232
s9000,1000000.0,6.0,1,0.9672,0.00935,0.9687948999072507,0.009408303422861893,9.953926097467924
s9000,1000000.0,10.0,1,1.3421,0.01664,1.3370198325067595,0.018003698769264866,2.127542360651734
s9000,5000000.0,-2.0,1,0.1191,0.00526,0.12039468743261361,0.005279809720995209,3.667093450931379
s9000,5000000.0,0.0,1,0.3417,0.00477,0.33879491969114855,0.004868507873067432,3.6348678860050487
s9000,5000000.0,2.0,1,0.5631,0.00498,0.5592355915160676,0.004926007787046839,2.9011298019398017
s9000,5000000.0,6.0,1,0.9901,0.0073,0.9912223434299943,0.007513413066090422,4.3592597858421644
s9000,5000000.0,10.0,1,1.3932,0.01219,1.3942108795356865,0.012198225191217075,3.7810758525301873
m26,200000.0,-2.0,1,0.2466,0.04541,0.23005501876356044,0.04549099795542607,47.52340121886668
m26,200000.0,0.0,1,0.4642,0.0336,0.4524159303777131,0.03303133971089173,33.24479705918606
m26,200000.0,2.0,0,,,0.6799681696150539,0.02392005803581866,49.27526962768294
m26,200000.0,6.0,1,1.1309,0.01267,1.1670274281007254,0.02338206919291103,45.72055525320764
m26,200000.0,10.0,1,1.136,0.03878,1.4822830843399806,0.026334542858919275,55.74605276989986
s3025,200000.0,-2.0,1,0.1868,0.01095,0.19432230591912736,0.012465213326117079,8.338985022069943
s3025,200000.0,0.0,1,0.4316,0.00928,0.42634916382778554,0.009354629667325353,9.900403924171432
s3025,200000.0,2.0,1,0.6318,0.01023,0.6313027743549853,0.01024565665551117,5.968416794582196
s3025,200000.0,6.0,1,1.0264,0.01285,1.0338655817781834,0.01274553867843207,11.39812208510683
s3025,200000.0,10.0,1,1.2574,0.02569,1.2166075036769228,0.031271463874165115,47.767946690687246
b707e,5000000.0,-2.0,1,0.0117,0.00796,-0.0013660847509588958,0.00558599701943735,2.581441084060542
b707e,5000000.0,0.0,1,0.2019,0.00731,0.22149596376454156,0.005123211214861507,5.867374204661735
b707e,5000000.0,2.0,1,0.4081,0.00799,0.4231619169862975,0.004248488016524543,5.8196016620484095
b707e,5000000.0,6.0,1,0.8551,0.0079,0.851427229529242,0.007860306857484359,0.9639184277866406
b707e,5000000.0,10.0,1,1.2258,0.01326,1.2267669959912948,0.013551222332209886,2.090607519348569
m26,5000000.0,-2.0,1,0.2225,0.01346,0.21929399871134614,0.0078105448583973905,7.074410582652976
m26,5000000.0,0.0,1,0.4461,0.00563,0.45041964564773995,0.006744700486209732,5.316511908243938
m26,5000000.0,2.0,1,0.6724,0.00332,0.6802224094223899,0.0063874607151409,4.910251282246947
m26,5000000.0,6.0,1,1.0989,0.00425,1.1389948374736198,0.006327174111033433,3.239234596709951
m26,5000000.0,10.0,0,,,1.5269018317039242,0.016278728893162182,38.01478367949423
s3025,1000000.0,-2.0,1,0.1822,0.00775,0.18245679714134938,0.007682212760386431,2.4907707396111793
s3025,1000000.0,0.0,1,0.3833,0.00493,0.38952208259100085,0.005191815948997516,11.230183032026131
s3025,1000000.0,2.0,1,0.6319,0.00543,0.6331240033595312,0.00550972061577553,5.222147197261129
s3025,1000000.0,6.0,1,1.0337,0.00884,1.0299918941433717,0.009216658424540664,7.122398616644931
s3025,1000000.0,10.0,1,1.3479,0.01804,1.3125691988186388,0.02076795496273055,14.282815176004972
goe303,200000.0,-2.0,1,0.4196,0.01839,0.41816385089395425,0.01664627995468413,19.62910129216431
goe303,200000.0,0.0,1,0.6418,0.01343,0.6359461464370539,0.013469076914580993,5.255255772397184
goe303,200000.0,2.0,1,0.8573,0.01169,0.8572050356675877,0.011670331320307707,7.343319207968463
goe303,200000.0,6.0,1,1.2584,0.01504,1.2635989090164044,0.01512608858928122,1.4392215686159435
goe303,200000.0,10.0,1,1.5568,0.0236,1.558833243884429,0.02283537488671816,6.673793718037537
b707e,200000.0,-2.0,1,0.0048,0.01708,0.025162904845984047,0.014626511921915573,13.427944307837434
b707e,200000.0,0.0,1,0.2378,0.01221,0.2705627105498554,0.009211506505633743,17.97689801117306
b707e,200000.0,2.0,1,0.5146,0.00929,0.4919815789866072,0.01002193399658085,7.3337622159802205
b707e,200000.0,6.0,1,0.8055,0.01574,0.8243377072946113,0.014206964266442754,21.11531788295205
b707e,200000.0,10.0,0,,,1.0416721589573799,0.05058423943139734,169.85963701122319
