airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
e226,1000000.0,2.0,1,0.3201,0.00514,0.3206470589115105,0.005207165864264287,9.083850616963748
e226,1000000.0,6.0,1,0.7674,0.01042,0.7706254577476319,0.010671013137419971,2.597500723092276
e226,1000000.0,10.0,1,1.0971,0.02042,1.0775989204796073,0.02286415365675754,17.762808384901714
rae101,1000000.0,-2.0,1,-0.2103,0.00533,-0.21320684015121288,0.005349199844379873,8.183740328302873
rae101,1000000.0,0.0,1,-0.0,0.00515,-2.7755575615628914e-16,0.005252842144927548,2.2466114032841396
rae101,1000000.0,2.0,1,0.2102,0.00534,0.21320684015121383,0.005349199844379858,8.183740328302969
rae101,1000000.0,6.0,1,0.693,0.01024,0.6884032870841759,0.01027771356795998,2.6556145276537304
rae101,1000000.0,10.0,1,1.0235,0.01922,1.0295780660096532,0.018429760477241857,2.542197961595341
w1011,200000.0,-2.0,1,-0.2791,0.00975,-0.2760721619614465,0.00979467448855763,12.859976550638631
w1011,200000.0,0.0,1,-0.0001,0.00875,-0.00020612953364657072,0.00877011270227608,18.798576523681703
w1011,200000.0,2.0,1,0.2788,0.00974,0.2757158452138338,0.009802923308403575,12.525346830187939
w1011,200000.0,6.0,1,0.6713,0.01441,0.6740490725652937,0.014243875626651933,14.30665061191527
w1011,200000.0,10.0,1,1.0361,0.02673,1.0287270684580732,0.028741519124418097,20.25030256132796
e426,1000000.0,-2.0,1,-0.1143,0.00739,-0.1128872122463237,0.007172739996705791,2.2226335293606696
e426,1000000.0,0.0,1,0.1048,0.00672,0.1011437519534043,0.006822564077795573,4.2857349630860595
e426,1000000.0,2.0,1,0.3213,0.00739,0.3140849179633126,0.007324014050534575,3.7792352859776326
e426,1000000.0,6.0,1,0.7725,0.00882,0.7699663220741223,0.009045908313240364,0.6275605937678709
e426,1000000.0,10.0,1,1.1867,0.01333,1.176334778468936,0.014207880696720456,9.302197191020777
e426,200000.0,-2.0,1,-0.1366,0.01072,-0.14979963478878083,0.01088626307223874,3.499910347054304
e426,200000.0,0.0,1,0.0995,0.00926,0.0997138701115225,0.009253852141709897,12.829894022985226
e426,200000.0,2.0,1,0.3581,0.00995,0.34611768899824635,0.009919739855413825,14.767771512356683
e426,200000.0,6.0,1,0.7469,0.01616,0.7493196026580462,0.01621557265409093,14.67370113482934
e426,200000.0,10.0,1,1.1306,0.02392,1.13765110813797,0.023174435958179893,17.117378406170115
e226,5000000.0,-2.0,1,-0.1078,0.00516,-0.11007046804086218,0.004964962822533771,3.368770842705673
e226,5000000.0,0.0,1,0.1126,0.00457,0.10958443753349556,0.004652346482184224,2.1616380863553797
e226,5000000.0,2.0,1,0.3337,0.00475,0.32951560489575704,0.004813492546834367,3.7969247683531866
e226,5000000.0,6.0,1,0.7624,0.00757,0.7610154762538163,0.007663750552560945,0.9483028048613666
e226,5000000.0,10.0,1,1.1771,0.0119,1.169501966172161,0.012729864039717806,5.623396265329594
e426,5000000.0,-2.0,1,-0.12,0.00595,-0.12275413264253532,0.005839134120467101,1.4304800490555665
e426,5000000.0,0.0,1,0.1059,0.00644,0.10170515645382106,0.006242883465912869,3.6776928490280056
e426,5000000.0,2.0,1,0.3327,0.0061,0.32406827721453113,0.006176632218690126,2.726629936575537
e426,5000000.0,6.0,1,0.7742,0.00636,0.7704102233032132,0.006484649333583253,7.410174447278301
e426,5000000.0,10.0,1,1.2038,0.01095,1.190842144044511,0.010984324590704097,8.775161545467556
w1011,1000000.0,-2.0,1,-0.2227,0.00626,-0.21844664090607868,0.006234720702480395,5.664296512869196
w1011,1000000.0,0.0,1,-0.0001,0.00607,0.0005413488943125655,0.006111239608024334,4.1195725669145205
w1011,1000000.0,2.0,1,0.2226,0.00626,0.2194477954222836,0.006261357853737225,5.635042854756356
w1011,1000000.0,6.0,1,0.6859,0.00881,0.6930135817099132,0.008661806391601079,8.281113485203544
w1011,1000000.0,10.0,1,1.0977,0.01427,1.086796526443744,0.015373202052271592,5.311422250491565
w1011,5000000.0,-2.0,1,-0.2294,0.00549,-0.22562060133083517,0.005562390679954332,0.5472812526607658
w1011,5000000.0,0.0,1,-0.0002,0.00535,0.0007293393068763532,0.005394753373778416,1.9885650297871322
w1011,5000000.0,2.0,1,0.2293,0.00548,0.22714237299797418,0.005563830635364662,0.512918739394774
w1011,5000000.0,6.0,1,0.6745,0.00637,0.6729445069604467,0.006666057704609291,4.928414332771467
w1011,5000000.0,10.0,1,1.1206,0.01016,1.1196019553819574,0.010261962236991416,3.894303315338226
e393,200000.0,-2.0,1,0.3055,0.01105,0.3099147336595517,0.011090056417714694,16.421155287256394
e393,200000.0,0.0,1,0.5131,0.01126,0.5125566535198504,0.011326197194922704,5.57449235805042
e393,200000.0,2.0,1,0.734,0.01172,0.7334790278578518,0.011505310548954824,6.201890068254466
e393,200000.0,6.0,1,1.1662,0.01402,1.173540980313847,0.01416481604109724,5.244830619094715
e393,200000.0,10.0,1,1.3406,0.02686,1.3366426268096552,0.029973392001611993,18.631243643338347
rae101,200000.0,-2.0,1,-0.3214,0.00959,-0.31189963367789986,0.009732355676172928,10.367798304023301
rae101,200000.0,0.0,1,-0.0,0.0088,1.6653345369377348e-16,0.008616123263228241,15.503022845962267
rae101,200000.0,2.0,1,0.3214,0.00959,0.31189963367790074,0.009732355676172946,10.367798304023422
rae101,200000.0,6.0,1,0.6509,0.01749,0.6522702810934128,0.017264188401606685,10.984592938694803
rae101,200000.0,10.0,0,,,0.7954538138097917,0.0655424373454948,188.56661588191616
mrc16-85,200000.0,-2.0,1,0.1106,0.01094,0.11710719666192027,0.010504399514325842,26.605604094176623
mrc16-85,200000.0,0.0,1,0.4362,0.0106,0.43565307588809055,0.010742873213898475,9.280723496766871
mrc16-85,200000.0,2.0,1,0.6255,0.01074,0.6277759062138922,0.010794294454483926,15.407088621582632
mrc16-85,200000.0,6.0,1,0.9966,0.01319,0.9975738373364642,0.013230980857447498,5.004541979779647
mrc16-85,200000.0,10.0,1,1.248,0.02223,1.2401960091179511,0.022297127191538143,21.750921558842638
e393,1000000.0,-2.0,1,0.3148,0.00645,0.31515679487183357,0.006454674333617555,5.0306137843396295
e393,1000000.0,0.0,1,0.5423,0.00626,0.542458107957895,0.006313547622564084,3.657023091426263
e393,1000000.0,2.0,1,0.7669,0.00636,0.7696372731757005,0.006465568776048724,2.603064906749235
e393,1000000.0,6.0,1,1.1866,0.00831,1.1948104710622318,0.008283240482200438,16.785836429452846
e393,1000000.0,10.0,1,1.4261,0.02012,1.4612436730982075,0.019668456560763062,4.509207720115732
